,reach_id,p_lat,p_lon,river_name
0,81190100011,59.95718086,-164.0765106,Kuguklik River
1,81190100021,59.96153159,-163.9762505,Kuguklik River
2,81190100031,59.983007,-163.916109,no_data
3,81190100081,60.00272934,-163.9001656,no_data
4,81190200015,60.27823004,-164.0478641,no_data
5,81190200025,60.30591659,-163.8745086,Kinia River
6,81190200035,60.33848247,-163.7287282,Kinia River
7,81190200045,60.28022145,-163.6805562,no_data
8,81190200055,60.17025882,-164.3824963,Kinia River
9,81190200065,60.18744316,-164.1986571,Kinia River
10,81190200075,60.24190781,-164.1068214,Kinia River
11,81190500015,61.0888517,-164.9522975,no_data
12,81190500025,61.04273327,-164.9224898,no_data
13,81190500035,61.00313768,-164.9113321,no_data
14,81190500045,61.00612612,-164.8378378,no_data
15,81190500055,61.0691832,-164.8439152,Narokachik River
16,81190500065,61.06290511,-164.7633503,Narokachik River
17,81190500075,61.05885585,-164.6765224,Narokachik River
18,81190500085,61.08247706,-164.5812769,Narokachik River
19,81190600015,61.29038685,-164.6372762,Manokinak River
20,81190600025,61.33034754,-164.5568542,Manokinak River
21,81190600035,61.39740538,-164.5171119,Manokinak River
22,81190600045,61.45375827,-164.3928065,Manokinak River
23,81190600055,61.25000383,-164.6626485,Azun River
24,81190600065,61.23193473,-164.6581697,Azun River
25,81190600085,61.27766814,-164.4795681,no_data
26,81190600105,61.10431233,-164.804212,Azun River; Narokachik River
27,81190600115,61.13243119,-164.7460985,Azun River
28,81190600125,61.14983496,-164.6934083,Azun River
29,81190600135,61.19406714,-164.6251332,no_data
30,81190600145,61.23504355,-164.5544488,Azun River
31,81190600155,61.25881261,-164.5477515,no_data
32,81190600165,61.24535268,-164.444966,no_data
33,81190600175,61.28571464,-164.3638971,no_data
34,81190600185,61.27366611,-164.2870735,no_data
35,81190600195,61.28759597,-164.213945,no_data
36,81190700015,61.09289775,-164.8891117,Narokachik River
37,81190700025,61.12383822,-164.8705318,no_data
38,81190700035,61.20277343,-165.1061764,Manokinak River
39,81190700045,61.25070557,-165.1070594,Manokinak River
40,81190700055,61.23770174,-165.039742,Manokinak River
41,81190700065,61.24529573,-164.9681983,Manokinak River
42,81190700075,61.29190661,-164.9288536,Manokinak River
43,81190700085,61.29617506,-164.8588872,Manokinak River
44,81190700095,61.32337001,-164.8367777,Manokinak River
45,81190700105,61.32166621,-164.7159761,Manokinak River
46,81190700115,61.18325012,-165.0829397,Manokinak River
47,81190700125,61.20709995,-165.0337493,no_data
48,81190700135,61.1640889,-165.0685558,Manokinak River
49,81190800031,61.66489067,-164.8445846,Kashunuk River
50,81190800041,61.72923229,-164.7994315,no_data
51,81190800051,61.73497664,-164.834882,Kashunuk River
